Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
9740286T;Ecole primaire publique Ambroise Vollard;Ecole;Public;286A route de Cilaos;LA RIVIERE / BP 16;97421 ST LOUIS;97421;97414;Saint-Louis;974;28;04;1;1;;;;0262390275;;;ce.9740286T@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974014900162;;;-21.275704881601474, 55.438300830992475;SANS OBJET;La Réunion;La Réunion;La Réunion;337979.5;7646537.5;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 2;-21.275704881601474;55.438300830992475;Rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740011U;;;9740857N;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740292Z;Ecole maternelle publique les Fourmis;Ecole;Public;145 rue Louise et Jouan;LE GUILLAUME;97423 ST PAUL;97423;97415;Saint-Paul;974;28;04;1;0;;;;0262325072;;;ce.9740292Z@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974015600084;;;-21.040315364429357, 55.30084539151708;SANS OBJET;La Réunion;La Réunion;La Réunion;323437.0;7672450.4;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 3;-21.040315364429357;55.30084539151708;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740932V;;;9741548P;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740304M;Ecole primaire publique Bellemene;Ecole;Public;348 rue Montrouge;BELLEMENE;97460 ST PAUL;97460;97415;Saint-Paul;974;28;04;1;1;;;;0262227589;;;ce.9740304M@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974015600217;;;-21.01822942297508, 55.30399139846833;SANS OBJET;La Réunion;La Réunion;La Réunion;323738.0;7674899.0;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 3;-21.01822942297508;55.30399139846833;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740932V;;;9741548P;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740316A;Ecole primaire publique Yves Paula;Ecole;Public;32 rue de l'Eglise;BOIS DE NEFLES ST PAUL;97411 ST PAUL;97411;97415;Saint-Paul;974;28;04;1;1;;;;0262440007;;;ce.9740316A@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974015600290;;;-21.00085483471952, 55.32604775482012;SANS OBJET;La Réunion;La Réunion;La Réunion;326010.6;7676846.7;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 3;-21.00085483471952;55.32604775482012;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740093H;;;9741548P;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740331S;Ecole élémentaire publique Eugene Dayot;Ecole;Public;77 bis route de Ligne Paradis;;97410 ST PIERRE;97410;97416;Saint-Pierre;974;28;04;0;1;;;;0262353587;;;ce.9740331S@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP;;21974016400096;;;-21.312975668097195, 55.47485762365346;SANS OBJET;La Réunion;La Réunion;La Réunion;341812.7;7642448.5;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 1;-21.312975668097195;55.47485762365346;Numéro de rue;1968-09-13;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740027L;;;9740056T;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740335W;Ecole élémentaire publique Ambroise Vollard;Ecole;Public;152 chemin Condé Concession;Ravine des Cabris;97432 ST PIERRE;97432;97416;Saint-Pierre;974;28;04;0;1;;;;0262385442;;;ce.9740335W@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP;;21974016400039;;;-21.29383780593201, 55.50316000118332;SANS OBJET;La Réunion;La Réunion;La Réunion;344728.6;7644595.3;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 2;-21.29383780593201;55.50316000118332;Numéro de rue;1968-09-13;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740027L;;;9740857N;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740340B;Ecole primaire publique Baril;Ecole;Public;1 rue Paul Hoareau Le Baril;;97442 ST PHILIPPE;97442;97417;Saint-Philippe;974;28;04;1;1;;;;0262370107;;;ce.9740340B@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974017200040;;;-21.369195862906462, 55.72646125489298;SANS OBJET;La Réunion;La Réunion;La Réunion;367962.8;7636456.8;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Joseph;-21.369195862906462;55.72646125489298;Numéro de rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740468R;;;9740452Y;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740349L;Ecole élémentaire publique Eugène Dayot;Ecole;Public;07 rue Pothier;BP 97460;97460 ST PAUL;97460;97415;Saint-Paul;974;28;04;0;1;;;;0262225237;;;ce.9740349L@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974015600480;;;-21.004126403948433, 55.27850361285266;SANS OBJET;La Réunion;La Réunion;La Réunion;321071.7;7676432.0;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 1;-21.004126403948433;55.27850361285266;Rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740093H;;;9740059W;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740360Y;Ecole élémentaire publique Raphaël Barquissau;Ecole;Public;17 rue de Cayenne;;97410 ST PIERRE;97410;97416;Saint-Pierre;974;28;04;0;1;;;;0262250337;;;ce.9740360Y@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974016400047;;;-21.338533069857665, 55.46677725387428;SANS OBJET;La Réunion;La Réunion;La Réunion;341002.0;7639611.0;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 1;-21.338533069857665;55.46677725387428;Numéro de rue;1968-09-13;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740576H;;;9740056T;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740387C;Ecole élémentaire publique 17ème km;Ecole;Public;130 chemin Barbot;;97430 LE TAMPON;97430;97422;Le Tampon;974;28;04;0;1;;;;0262271362;;;ce.9740387C@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974022200068;;;-21.240199952418088, 55.52526843493211;SANS OBJET;La Réunion;La Réunion;La Réunion;346966.9;7650554.8;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 1;-21.240199952418088;55.52526843493211;Numéro de rue;1968-09-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740620F;;;9740057U;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740389E;Ecole primaire publique Dassy;Ecole;Public;28 chemin du Dassy;;97430 LE TAMPON;97430;97422;Le Tampon;974;28;04;1;1;;;;0262578465;;;ce.9740389E@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974022200142;;;-21.256318148650518, 55.485977782863785;SANS OBJET;La Réunion;La Réunion;La Réunion;342906.1;7648731.9;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 2;-21.256318148650518;55.485977782863785;Numéro de rue;1968-09-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740620F;;;9741200L;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740396M;Ecole primaire publique Alfred Isautier;Ecole;Public;10 chemin de l''Ecole;;97430 LE TAMPON;97430;97422;Le Tampon;974;28;04;1;1;;;;0262389080;;;ce.9740396M@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974022200084;;;-21.310996007464013, 55.53661813195666;SANS OBJET;La Réunion;La Réunion;La Réunion;348217.5;7642728.4;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 1;-21.310996007464013;55.53661813195666;Numéro de rue;1968-09-13;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741581A;;;9740057U;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740399R;Ecole primaire publique Aristide Briand;Ecole;Public;8 rue Aristide Briand;;97430 LE TAMPON;97430;97422;Le Tampon;974;28;04;1;1;;;;0262270396;;;ce.9740399R@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974022200092;;;-21.277695609749568, 55.51508496918688;SANS OBJET;La Réunion;La Réunion;La Réunion;345949.0;7646394.0;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 1;-21.277695609749568;55.51508496918688;Numéro de rue;1968-09-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741581A;;;9740057U;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740430Z;Ecole primaire publique Rivière de l'Est;Ecole;Public;40 route Nationale 2;Rivière de L'Est;97439 STE ROSE;97439;97419;Sainte-Rose;974;28;04;1;1;;;;0262985550;;;ce.9740430Z@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974019800060;;;-21.11991530299608, 55.75894390702866;SANS OBJET;La Réunion;La Réunion;La Réunion;371114.3;7664077.9;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Benoît;-21.11991530299608;55.75894390702866;Numéro de rue;1968-09-10;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741233X;;;9740060X;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740437G;Ecole élémentaire publique René Manglou;Ecole;Public;41 avenue Mahatma Gandhi;;97441 STE SUZANNE;97441;97420;Sainte-Suzanne;974;28;04;0;1;;;;0262460030;;;ce.9740437G@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974020600087;;;-20.928506843998047, 55.63483694330625;SANS OBJET;La Réunion;La Réunion;La Réunion;358042.7;7685160.5;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Suzanne;-20.928506843998047;55.63483694330625;Numéro de rue;1968-09-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741270M;;;9741539E;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740447T;Ecole primaire publique  Centre Cilaos;Ecole;Public;10 rue des Ecoles;;97413 CILAOS;97413;97424;Cilaos;974;28;04;1;1;;;;0692768612;;;ce.9740447T@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP;;21974024800022;;;-21.133525759778575, 55.4726881966227;SANS OBJET;La Réunion;La Réunion;La Réunion;341395.9;7662312.3;EPSG:2975;Circonscription d'inspection du 1er degré Saint-Louis/Cilaos;-21.133525759778575;55.4726881966227;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741189Z;;;9740058V;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740466N;Ecole primaire publique Espérance;Ecole;Public;2 rue Jean XXIII;BP 2;97438 STE MARIE;97438;97418;Sainte-Marie;974;28;04;1;1;;;;0262536045;;;ce.9740466N@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974018000126;;;-20.93959056571636, 55.519905542118074;SANS OBJET;La Réunion;La Réunion;La Réunion;346100.9;7683827.5;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Marie;-20.93959056571636;55.519905542118074;Numéro de rue;1969-11-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740921H;;;9740088C;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740489N;Ecole primaire publique Rivière des Roches;Ecole;Public;5 place Juliette Dodu;;97412 BRAS PANON;97412;97402;Bras-Panon;974;28;04;1;1;;;;0262515160;;;ce.9740489N@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974002400027;;;-21.00312338000484, 55.6902952266663;SANS OBJET;La Réunion;La Réunion;La Réunion;363877.9;7676949.0;EPSG:2975;Circonscription d'inspection du 1er degré de Bras-Panon;-21.00312338000484;55.6902952266663;Numéro de rue;1970-06-29;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740046G;;;9741305A;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740515S;Ecole primaire privée catholique Sainte Madeleine;Ecole;Privé;162 bis rue Roger Payet;RIVIERE DES PLUIES;97438 STE MARIE;97438;97418;Sainte-Marie;974;28;04;1;1;;;;0262535692;;;ce.9740515s@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;31469509900023;;;-20.914584761111726, 55.51000540588724;CONTRAT D'ASSOCIATION TOUTES CLASSES;La Réunion;La Réunion;La Réunion;345045.6;7686586.1;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Marie;-20.914584761111726;55.51000540588724;Numéro de rue;1968-10-15;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;9740921H;;;9740088C;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740520X;Ecole primaire privée catholique Saint Gabriel;Ecole;Privé;32 route des Palmiers pk8;;97417 ST DENIS;97417;97411;Saint-Denis;974;28;04;1;1;;;;0262236220;;;ce.9740520x@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;38094575800015;;;-20.889266263165045, 55.425699722446204;CONTRAT D'ASSOCIATION TOUTES CLASSES;La Réunion;La Réunion;La Réunion;336249.0;7689305.2;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 5;-20.889266263165045;55.425699722446204;Numéro de rue;1968-10-15;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;9740595D;;;9741067S;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740533L;Ecole primaire privée catholique Rosalie Javouhey;Ecole;Privé;12 rue du Père Davelu;;97460 ST PAUL;97460;97415;Saint-Paul;974;28;04;1;1;;;;0262225555;;;ce.9740533l@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;31693386000017;;;-21.014464046153392, 55.270118830637784;CONTRAT D'ASSOCIATION TOUTES CLASSES;La Réunion;La Réunion;La Réunion;320212.4;7675278.1;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 3;-21.014464046153392;55.270118830637784;Numéro de rue;1968-10-15;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;9740093H;;;9741548P;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740534M;Ecole primaire privée catholique Saint Charles;Ecole;Privé;1 rue Françoise Dolto;;97419 LA POSSESSION;97419;97408;La Possession;974;28;04;1;1;;;;0262705030;;;ce.9740534m@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;39873292500019;;;-20.962161561146047, 55.32821074437681;CONTRAT D'ASSOCIATION TOUTES CLASSES;La Réunion;La Réunion;La Réunion;326190.7;7681132.7;EPSG:2975;Circonscription d'inspection du 1er degré de La Possession;-20.962161561146047;55.32821074437681;Numéro de rue;1968-10-15;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;9740084Y;;;9741083J;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740555K;Ecole primaire publique Bras Long;Ecole;Public;163 route de Bras Long;;97414 ENTRE DEUX;97414;97403;Entre-Deux;974;28;04;1;1;;;;0262395006;;;ce.9740555K@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974003200053;;;-21.235547112431377, 55.471404641854775;SANS OBJET;La Réunion;La Réunion;La Réunion;341371.5;7651016.8;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 2;-21.235547112431377;55.471404641854775;Numéro de rue;1971-07-21;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740027L;;;9741200L;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740591Z;Ecole primaire publique Primat;Ecole;Public;30 rue du Stade de l'Est;;97490 ST DENIS;97490;97411;Saint-Denis;974;28;04;1;1;;;;0262282385;;;ce.9740591Z@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974011500684;;;-20.898630775154736, 55.50184290602727;SANS OBJET;La Réunion;La Réunion;La Réunion;344180.1;7688344.3;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 2;-20.898630775154736;55.50184290602727;Numéro de rue;1972-07-19;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741260B;;;9740062Z;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740607S;Ecole maternelle Françoise Mollard;Ecole;Public;56 rue de la Maternelle;;97400 ST DENIS;97400;97411;Saint-Denis;974;28;04;1;0;;;;0262302411;;;ce.9740607S@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974011500692;;;-20.895169924886698, 55.461158664063525;SANS OBJET;La Réunion;La Réunion;La Réunion;339944.2;7688687.4;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 3;-20.895169924886698;55.461158664063525;Numéro de rue;1973-04-25;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740645H;;;9740086A;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740623J;Ecole élémentaire publique Eugène Dayot;Ecole;Public;Rue Louise Michel;;97420 LE PORT;97420;97407;Le Port;974;28;04;0;1;;;;0262420850;;;ce.9740623J@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974007300099;;;-20.961701128521003, 55.320608298664155;SANS OBJET;La Réunion;La Réunion;La Réunion;325399.6;7681175.4;EPSG:2975;Circonscription d'inspection du 1er degré du Port;-20.961701128521003;55.320608298664155;Rue;1974-05-22;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740812P;;;9740815T;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740637Z;Ecole maternelle publique Bras Creux;Ecole;Public;1 rue des Pétunias;;97430 LE TAMPON;97430;97422;Le Tampon;974;28;04;1;0;;;;0262278226;;;ce.9740637Z@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974022200126;;;-21.25739628479489, 55.53592937236189;SANS OBJET;La Réunion;La Réunion;La Réunion;348091.0;7648661.4;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 1;-21.25739628479489;55.53592937236189;Numéro de rue;1974-05-22;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9741581A;;;9740057U;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740660Z;Ecole maternelle publique Bois Joli;Ecole;Public;4 rue André Duchemann;;97470 ST BENOIT;97470;97410;Saint-Benoît;974;28;04;1;0;;;;0262501814;;;ce.9740660Z@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974010700129;;;-21.02994014261694, 55.707733823714;SANS OBJET;La Réunion;La Réunion;La Réunion;365714.6;7673995.3;EPSG:2975;Circonscription d'inspection du 1er degré de Bras-Panon;-21.02994014261694;55.707733823714;Numéro de rue;1975-04-24;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740083X;;;9741305A;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740671L;Ecole maternelle  publique Saint-Gilles-les-Hauts;Ecole;Public;28 rue des Ecoles;;97435 ST PAUL;97435;97415;Saint-Paul;974;28;04;1;0;;;;0262227824;;;ce.9740671L@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974015600142;;;-21.049257964563278, 55.26999901768606;SANS OBJET;La Réunion;La Réunion;La Réunion;320241.7;7671425.9;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 2;-21.049257964563278;55.26999901768606;Numéro de rue;1975-04-24;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740932V;;;9740087B;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740711E;Ecole maternelle publique Desforges Boucher;Ecole;Public;18 rue Sainte-Thérèse;PLATEAU MAISON ROUGE;97450 ST LOUIS;97450;97414;Saint-Louis;974;28;04;1;0;;;;0262260094;;;ce.9740711E@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974014900238;;;-21.28375606084763, 55.40966057701257;SANS OBJET;La Réunion;La Réunion;La Réunion;335016.6;7645616.5;EPSG:2975;Circonscription d'inspection du 1er degré Saint-Louis/Cilaos;-21.28375606084763;55.40966057701257;Numéro de rue;1976-05-14;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9741189Z;;;9740058V;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740712F;Ecole maternelle publique Combavas;Ecole;Public;48 ter rue des Flamboyants;;97411 ST PAUL;97411;97415;Saint-Paul;974;28;04;1;0;;;;0262440241;;;ce.9740712F@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974015600266;;;-20.98029285121332, 55.326070168550515;SANS OBJET;La Réunion;La Réunion;La Réunion;325989.1;7679123.1;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 3;-20.98029285121332;55.326070168550515;Numéro de rue;1976-05-14;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740093H;;;9741548P;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740759G;Ecole maternelle publique Mare à Vieille Place;Ecole;Public;6 chemin du Butor;MARE A VIEILLE PLACE;97433 SALAZIE;97433;97421;Salazie;974;28;04;1;0;;;;0692466252;;;ce.9740759G@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974021400123;;;-21.024273922072226, 55.52142247860693;SANS OBJET;La Réunion;La Réunion;La Réunion;346345.3;7674454.5;EPSG:2975;Circonscription d'inspection du 1er degré de Bras-Panon;-21.024273922072226;55.52142247860693;Numéro de rue;1977-09-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740046G;;;9741305A;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740767R;Ecole maternelle publique la Fontaine;Ecole;Public;5 chemin des Calumets;LA FONTAINE;97436 ST LEU;97436;97413;Saint-Leu;974;28;04;1;0;;;;0262548020;;;ce.9740767R@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974013100137;;;-21.15772745187371, 55.30339408826228;SANS OBJET;La Réunion;La Réunion;La Réunion;323840.5;7659454.5;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Leu;-21.15772745187371;55.30339408826228;Numéro de rue;1978-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740546A;;;9740451X;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
